,Date,Daily Closing Price
986,2018-03-13,9142.32
987,2018-03-14,8196.69
988,2018-03-15,8265.05
989,2018-03-16,8258.54
990,2018-03-17,7860.83
991,2018-03-18,8188.24
992,2018-03-19,8596.93
993,2018-03-20,8904.02
994,2018-03-21,8893.79
995,2018-03-22,8704.67
996,2018-03-23,8920.79
997,2018-03-24,8547.0
998,2018-03-25,8453.9
999,2018-03-26,8149.66
1000,2018-03-27,7791.7
1001,2018-03-28,7932.41
1002,2018-03-29,7088.38
1003,2018-03-30,6850.0
1004,2018-03-31,6928.62
1005,2018-04-01,6813.52
1006,2018-04-02,7052.76
1007,2018-04-03,7416.27
1008,2018-04-04,6799.95
1009,2018-04-05,6771.69
1010,2018-04-06,6618.33
1011,2018-04-07,6904.9
1012,2018-04-08,7027.26
1013,2018-04-09,6780.1
1014,2018-04-10,6835.67
1015,2018-04-11,6940.94
1016,2018-04-12,7923.78
1017,2018-04-13,7896.92
1018,2018-04-14,8000.41
